Year,Month,Domestic Debt,External Debt,Total
2021,December,4032368.18,4174371.53,8206739.71
2021,November,4008077.3,4109282.85,8117360.15
2021,October,3959523.3,4083124.54,8042647.84
2021,September,3937777.45,4062504.78,8000282.23
2021,August,3864875.78,4054862.85,7919738.63
2021,July,3792146.89,4020629.3,7812776.19
2021,June,3697093.18,4015299.38,7712392.57
2021,May,3686891.72,3799018.81,7485910.53
2021,April,3632914.8,3778131.44,7411046.24
2021,March,3569840.57,3769866.74,7339707.31
2021,February,3531182.93,3814288.77,7345471.7
2021,January,3532561.52,3819699.66,7352261.18
2020,December,3488541.18,3793285.24,7281826.42
2020,November,3482653.56,3771808.47,7254462.03
2020,October,3457644.63,3705644.24,7163288.87
2020,September,3457106.5,3663491.22,7120597.72
2020,August,3402500.73,3666321.29,7068822.02
2020,July,3273551.44,3638506.49,6912057.93
2020,June,3178421.28,3515810.78,6694232.06
2020,May,3153143.94,3496428.84,6649572.77
2020,April,3119415.8,3317330.98,6436746.77
2020,March,3070189.38,3212634.23,6282823.61
2020,February,3040964.55,3117038.57,6158003.12
2020,January,3003700.3,3112897.95,6116598.25
2019,December,2942103.54,3106822.96,6048926.5
2019,November,2917362.29,3114959.69,6032321.98
2019,October,2897141.36,3127601.26,6024742.62
2019,September,2851639.21,3111767.28,5963406.49
2019,August,2875502.65,3133543.34,6009045.99
2019,July,2843666.89,3160057.46,6003724.35
2019,June,2785483.13,3023139.47,5808622.6
2019,May,2772613.71,2834844.04,5607457.75
2019,April,2740905.64,2842481.02,5583386.66
2019,March,2702933.27,2721597.46,5424530.74
2019,February,2690972.03,2707287.17,5398259.2
2019,January,2604189.4,2729478.57,5333667.97
2018,December,2548768.78,2723734.27,5272503.04
2018,November,2563418.63,2709008.39,5272427.03
2018,October,2535751.89,2654689.44,5190441.33
2018,September,2540833.74,2605334.58,5146168.32
2018,August,2493706.78,2611403.1,5105109.88
2018,July,2513046.5,2601071.15,5114117.65
2018,June,2478835.09,2560199.43,5039034.52
2018,May,2447575.21,2573126.24,5020701.44
2018,April,2415234.64,2562178.53,4977413.17
2018,March,2371650.53,2512430.94,4884081.46
2018,February,2338213.71,2563074.05,4901287.76
2018,January,2247295.02,2377522.47,4624817.49
2017,December,2220345.35,2349284.44,4569629.79
2017,November,2228429.02,2357226.48,4585655.5
2017,October,2188509.46,2353124.93,4541634.39
2017,September,2172835.15,2310198.99,4483034.13
2017,August,2135933.94,2309775.39,4445709.33
2017,July,2123788.59,2305538.33,4429326.92
2017,June,2111710.44,2294735.88,4406446.32
2017,May,2045471.63,2187224.33,4232695.96
2017,April,1979865.65,2167254.83,4147120.48
2017,March,1945253.27,2159068.94,4104322.21
2017,February,1901820.24,1993173.8,3894994.04
2017,January,1894094.99,1992795.15,3886890.14
2016,December,1930855.01,1896443.05,3827298.06
2016,November,1918656.99,1834914.33,3753571.32
2016,October,1872102.82,1844474.96,3716577.78
2016,September,1854554.56,1849019.87,3703574.43
2016,August,1815930.73,1803260.48,3619191.22
2016,July,1808641.64,1797696.38,3606338.02
2016,June,1815470.5,1803256.3,3618726.8
2016,May,1750326.78,1680631.83,3430958.61
